event_id,timestamp,datetime,maker,taker,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,transactionHash,orderHash,fee,feeRateBps,side,outcome_asset,outcome,size,usdc_value,price
0x7152505c541161d336ac96597ecf17ed72a758db289083549b186109cdbb4e9a_0xac267e9f72a2c191209390919b4f238188df7dd58346fce3a859d012c0d79465,1768956894,2026-01-21 08:54:54,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,9903767854719366249422546239269531687485274409697560654117285972213079947201,3640000.0,14000000.0,0x7152505c541161d336ac96597ecf17ed72a758db289083549b186109cdbb4e9a,0xac267e9f72a2c191209390919b4f238188df7dd58346fce3a859d012c0d79465,0.0,,BUY,9903767854719366249422546239269531687485274409697560654117285972213079947201,ThunderTalk Gaming,14.0,3.64,0.26
0x7152505c541161d336ac96597ecf17ed72a758db289083549b186109cdbb4e9a_0x8f468a0248b5db1629af24bc9ca95bb500c2e169fd7a7bb1d5a91f303b05df5e,1768956894,2026-01-21 08:54:54,0xa226daf8153010f6b5c504a29c51509ae3ed5092,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0,49524547667173145976599416526314945902544798872770725772037010369242462061685,10360000.0,14000000.0,0x7152505c541161d336ac96597ecf17ed72a758db289083549b186109cdbb4e9a,0x8f468a0248b5db1629af24bc9ca95bb500c2e169fd7a7bb1d5a91f303b05df5e,0.0,,BUY,49524547667173145976599416526314945902544798872770725772037010369242462061685,EDward Gaming,14.0,10.36,0.74
0x0f60c79c7eca73eaea7b48c7108c689210052a2dc2106c4815add5df73dc2fb5_0x1798942dba9f499a1f47deb540f8235f8b3fbe3479f00a8d4654aa0ace114f3c,1768981288,2026-01-21 15:41:28,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0x988d8d2a3b01f96a115cf0e20e59e134d65a9899,0,49524547667173145976599416526314945902544798872770725772037010369242462061685,123000000.0,164000000.0,0x0f60c79c7eca73eaea7b48c7108c689210052a2dc2106c4815add5df73dc2fb5,0x1798942dba9f499a1f47deb540f8235f8b3fbe3479f00a8d4654aa0ace114f3c,0.0,,BUY,49524547667173145976599416526314945902544798872770725772037010369242462061685,EDward Gaming,164.0,123.0,0.75
0x0f60c79c7eca73eaea7b48c7108c689210052a2dc2106c4815add5df73dc2fb5_0xa2322004ba58237445cbde1342bbc2415395035bcc5aa9c1b0a2c2ca15fbfeed,1768981288,2026-01-21 15:41:28,0xa226daf8153010f6b5c504a29c51509ae3ed5092,0x988d8d2a3b01f96a115cf0e20e59e134d65a9899,0,49524547667173145976599416526314945902544798872770725772037010369242462061685,9750000.0,13000000.0,0x0f60c79c7eca73eaea7b48c7108c689210052a2dc2106c4815add5df73dc2fb5,0xa2322004ba58237445cbde1342bbc2415395035bcc5aa9c1b0a2c2ca15fbfeed,0.0,,BUY,49524547667173145976599416526314945902544798872770725772037010369242462061685,EDward Gaming,13.0,9.75,0.75
0x0f60c79c7eca73eaea7b48c7108c689210052a2dc2106c4815add5df73dc2fb5_0xf48156e18a3003b1f0d09f5e07ad837668117dcb416790704684209f13d2eb40,1768981288,2026-01-21 15:41:28,0x988d8d2a3b01f96a115cf0e20e59e134d65a9899,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,9903767854719366249422546239269531687485274409697560654117285972213079947201,44250000.0,177000000.0,0x0f60c79c7eca73eaea7b48c7108c689210052a2dc2106c4815add5df73dc2fb5,0xf48156e18a3003b1f0d09f5e07ad837668117dcb416790704684209f13d2eb40,0.0,,BUY,9903767854719366249422546239269531687485274409697560654117285972213079947201,ThunderTalk Gaming,177.0,44.25,0.25
0xb28257173996c32bf38e8fce766ab18b4d21dafd48339fc324704d54a8decea8_0xa60bdba869cdea5fc449766f9e537cb935e5786770eca37f0fc6f326dcf411b9,1769017524,2026-01-22 01:45:24,0xa226daf8153010f6b5c504a29c51509ae3ed5092,0x520ee90647d0c8240680686cff408d628b55d75a,49524547667173145976599416526314945902544798872770725772037010369242462061685,0,22000000.0,16500000.0,0xb28257173996c32bf38e8fce766ab18b4d21dafd48339fc324704d54a8decea8,0xa60bdba869cdea5fc449766f9e537cb935e5786770eca37f0fc6f326dcf411b9,0.0,,SELL,49524547667173145976599416526314945902544798872770725772037010369242462061685,EDward Gaming,22.0,16.5,0.75
0xb28257173996c32bf38e8fce766ab18b4d21dafd48339fc324704d54a8decea8_0xab73b47de9cc4ef8ee02ee710e8c595644204a5b2e471f59fff2c2b455e0ad3d,1769017524,2026-01-22 01:45:24,0xeb747705bbd51b84a7f9018f69e0be82ec872f5a,0x520ee90647d0c8240680686cff408d628b55d75a,0,9903767854719366249422546239269531687485274409697560654117285972213079947201,2500000.0,10000000.0,0xb28257173996c32bf38e8fce766ab18b4d21dafd48339fc324704d54a8decea8,0xab73b47de9cc4ef8ee02ee710e8c595644204a5b2e471f59fff2c2b455e0ad3d,0.0,,BUY,9903767854719366249422546239269531687485274409697560654117285972213079947201,ThunderTalk Gaming,10.0,2.5,0.25
0xb28257173996c32bf38e8fce766ab18b4d21dafd48339fc324704d54a8decea8_0xe42971f94a58dd4652a846cff7663d8d7dfa79827afeb360522ec7efd90e6b7e,1769017524,2026-01-22 01:45:24,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0x520ee90647d0c8240680686cff408d628b55d75a,0,9903767854719366249422546239269531687485274409697560654117285972213079947201,37500000.0,150000000.0,0xb28257173996c32bf38e8fce766ab18b4d21dafd48339fc324704d54a8decea8,0xe42971f94a58dd4652a846cff7663d8d7dfa79827afeb360522ec7efd90e6b7e,0.0,,BUY,9903767854719366249422546239269531687485274409697560654117285972213079947201,ThunderTalk Gaming,150.0,37.5,0.25
0xb28257173996c32bf38e8fce766ab18b4d21dafd48339fc324704d54a8decea8_0xed6e64e27f1e5998669eba01abe0ca7afba1f1b68dfcc2879952388c9eee631f,1769017524,2026-01-22 01:45:24,0x520ee90647d0c8240680686cff408d628b55d75a,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,49524547667173145976599416526314945902544798872770725772037010369242462061685,136500000.0,182000000.0,0xb28257173996c32bf38e8fce766ab18b4d21dafd48339fc324704d54a8decea8,0xed6e64e27f1e5998669eba01abe0ca7afba1f1b68dfcc2879952388c9eee631f,0.0,,BUY,49524547667173145976599416526314945902544798872770725772037010369242462061685,EDward Gaming,182.0,136.5,0.75
0x97e990cc0a0503cc32202ced574378551d6dfc0bc88977f08f7b156d7ba5f27e_0x59f57cf63d5d86952941b3468f42af2b0555c85e095b3ba05ede675eac950bb5,1769038298,2026-01-22 07:31:38,0x32485cccca2d6a5f52d48727cebf619f6d684a2b,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,9903767854719366249422546239269531687485274409697560654117285972213079947201,1050000.0,5000000.0,0x97e990cc0a0503cc32202ced574378551d6dfc0bc88977f08f7b156d7ba5f27e,0x59f57cf63d5d86952941b3468f42af2b0555c85e095b3ba05ede675eac950bb5,0.0,,BUY,9903767854719366249422546239269531687485274409697560654117285972213079947201,ThunderTalk Gaming,5.0,1.05,0.21000000000000002
