event_id,timestamp,datetime,maker,taker,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,transactionHash,orderHash,fee,feeRateBps,side,outcome_asset,outcome,size,usdc_value,price
0xcbfe7579d6624a2d484d86fbdf86962b16b4bb40c0c39dcb6412fe6015539dc4_0xcaffc038fcec8122f55204f482683ae3304cc66d230c8ed2be09aa1c5f44e560,1767450429,2026-01-03 22:27:09,0xd6a8cfe85aa78b0e3caf91c03876d5f169975f21,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,8272162337253085731650407322932860230957645566617624982096957604670643771340,999999.0,1470587.0,0xcbfe7579d6624a2d484d86fbdf86962b16b4bb40c0c39dcb6412fe6015539dc4,0xcaffc038fcec8122f55204f482683ae3304cc66d230c8ed2be09aa1c5f44e560,0.0,,BUY,8272162337253085731650407322932860230957645566617624982096957604670643771340,LGD Gaming,1.470587,0.999999,0.6799998911999086
0xcbfe7579d6624a2d484d86fbdf86962b16b4bb40c0c39dcb6412fe6015539dc4_0x8ec1c0cce84c17732f1251dd85880bcd4444704921f8d433060fec5f49119f03,1767450429,2026-01-03 22:27:09,0x6ac5bb06a9eb05641fd5e82640268b92f3ab4b6e,0xd6a8cfe85aa78b0e3caf91c03876d5f169975f21,0,34631728538240162622887128490424229190367362702149306576911179837077072030709,470588.0,1470587.0,0xcbfe7579d6624a2d484d86fbdf86962b16b4bb40c0c39dcb6412fe6015539dc4,0x8ec1c0cce84c17732f1251dd85880bcd4444704921f8d433060fec5f49119f03,0.0,,BUY,34631728538240162622887128490424229190367362702149306576911179837077072030709,Ultra Prime,1.470587,0.470588,0.3200001088000914
0x1dbc7606dd54df32e528f19d4a2fe0707eb32b90b255b14bb689977becca9522_0x8ec1c0cce84c17732f1251dd85880bcd4444704921f8d433060fec5f49119f03,1767455553,2026-01-03 23:52:33,0x6ac5bb06a9eb05641fd5e82640268b92f3ab4b6e,0xe09e74eff8f92a9d75cf5e4b762e840b218206eb,0,34631728538240162622887128490424229190367362702149306576911179837077072030709,470588.0,1470587.0,0x1dbc7606dd54df32e528f19d4a2fe0707eb32b90b255b14bb689977becca9522,0x8ec1c0cce84c17732f1251dd85880bcd4444704921f8d433060fec5f49119f03,0.0,,BUY,34631728538240162622887128490424229190367362702149306576911179837077072030709,Ultra Prime,1.470587,0.470588,0.3200001088000914
0x1dbc7606dd54df32e528f19d4a2fe0707eb32b90b255b14bb689977becca9522_0xc6e78db2b9ff41e4e6fe6ba98f4ce914ddd7ddebedabdfa111487351b947e806,1767455553,2026-01-03 23:52:33,0xe09e74eff8f92a9d75cf5e4b762e840b218206eb,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,8272162337253085731650407322932860230957645566617624982096957604670643771340,999999.0,1470587.0,0x1dbc7606dd54df32e528f19d4a2fe0707eb32b90b255b14bb689977becca9522,0xc6e78db2b9ff41e4e6fe6ba98f4ce914ddd7ddebedabdfa111487351b947e806,0.0,,BUY,8272162337253085731650407322932860230957645566617624982096957604670643771340,LGD Gaming,1.470587,0.999999,0.6799998911999086
0xc849519761af814b33ffb69db6090b10d2d71c863c70a457313be38ef89afd1b_0xcf50560d818b7d26684746c1da38bfa43f17120389f82c4363c920ee1078aa42,1767510583,2026-01-04 15:09:43,0x0bab078fd3c79acc40269cc39f67de4e768d6832,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,34631728538240162622887128490424229190367362702149306576911179837077072030709,99999999.0,263157893.0,0xc849519761af814b33ffb69db6090b10d2d71c863c70a457313be38ef89afd1b,0xcf50560d818b7d26684746c1da38bfa43f17120389f82c4363c920ee1078aa42,0.0,,BUY,34631728538240162622887128490424229190367362702149306576911179837077072030709,Ultra Prime,263.157893,99.999999,0.379999998708
0xc849519761af814b33ffb69db6090b10d2d71c863c70a457313be38ef89afd1b_0xcfa7afae8a5eb8f1ef7a5597d4e6a64a4085ede6c6ecb8a9dc607ea907fe7902,1767510583,2026-01-04 15:09:43,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,0x0bab078fd3c79acc40269cc39f67de4e768d6832,0,8272162337253085731650407322932860230957645566617624982096957604670643771340,76977894.0,124157893.0,0xc849519761af814b33ffb69db6090b10d2d71c863c70a457313be38ef89afd1b,0xcfa7afae8a5eb8f1ef7a5597d4e6a64a4085ede6c6ecb8a9dc607ea907fe7902,0.0,,BUY,8272162337253085731650407322932860230957645566617624982096957604670643771340,LGD Gaming,124.157893,76.977894,0.6200000027384486
0xc849519761af814b33ffb69db6090b10d2d71c863c70a457313be38ef89afd1b_0x32d00f8bc8b97d645dcc145e5568faaa8e61a8e7ef04c41c7ef7b9914b54f4de,1767510583,2026-01-04 15:09:43,0x6ac5bb06a9eb05641fd5e82640268b92f3ab4b6e,0x0bab078fd3c79acc40269cc39f67de4e768d6832,0,8272162337253085731650407322932860230957645566617624982096957604670643771340,86180000.0,139000000.0,0xc849519761af814b33ffb69db6090b10d2d71c863c70a457313be38ef89afd1b,0x32d00f8bc8b97d645dcc145e5568faaa8e61a8e7ef04c41c7ef7b9914b54f4de,0.0,,BUY,8272162337253085731650407322932860230957645566617624982096957604670643771340,LGD Gaming,139.0,86.18,0.62
0x2746bde63c6153f05f157106d9f699b6b4ec08e16664834421c7d35634bb584f_0x3284f3414a13f0381291afa0a563093ca5fe8b3e9c437c35a98e195d0a9beb61,1767510591,2026-01-04 15:09:51,0x7f89c4edd642ffdc6ee60f4a7e04b9ad9feeb87e,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,8272162337253085731650407322932860230957645566617624982096957604670643771340,1489998.0,2223878.0,0x2746bde63c6153f05f157106d9f699b6b4ec08e16664834421c7d35634bb584f,0x3284f3414a13f0381291afa0a563093ca5fe8b3e9c437c35a98e195d0a9beb61,0.0,,BUY,8272162337253085731650407322932860230957645566617624982096957604670643771340,LGD Gaming,2.223878,1.489998,0.6699998830871118
0xec8fa5ff073c16e912429ae179ce8e002eb952b3f6952d58492283bc24f14d68_0x886b8ac0871452fd852cc4b71487dc27f430597d214f0a352e62eacf964adc01,1767510591,2026-01-04 15:09:51,0x34149910b7654215e955bb2a6dfd1dcf8541067a,0x9cd7f5d87f920b827212161756e4390c5956b87e,0,34631728538240162622887128490424229190367362702149306576911179837077072030709,1098358.0,3328357.0,0xec8fa5ff073c16e912429ae179ce8e002eb952b3f6952d58492283bc24f14d68,0x886b8ac0871452fd852cc4b71487dc27f430597d214f0a352e62eacf964adc01,0.0,,BUY,34631728538240162622887128490424229190367362702149306576911179837077072030709,Ultra Prime,3.328357,1.098358,0.3300000570852225
0x907526d5acf031581ca159b556c82d1b9e2bb62fb09fa6521ec31a0b83e7436f_0xf357a3c98a58f5d16101fb94009979b854ac0b1a04352b2e5f8280c8794efb5e,1767510591,2026-01-04 15:09:51,0x83fc9a3d4f4a92e57e23d917a014d46b9e1113cc,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,8272162337253085731650407322932860230957645566617624982096957604670643771340,8409998.0,12552236.0,0x907526d5acf031581ca159b556c82d1b9e2bb62fb09fa6521ec31a0b83e7436f,0xf357a3c98a58f5d16101fb94009979b854ac0b1a04352b2e5f8280c8794efb5e,0.0,,BUY,8272162337253085731650407322932860230957645566617624982096957604670643771340,LGD Gaming,12.552236,8.409998,0.6699999904399503
