event_id,timestamp,datetime,maker,taker,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,transactionHash,orderHash,fee,feeRateBps,side,outcome_asset,outcome,size,usdc_value,price
0xbfb56cd78c38a17c9148edb2c6a7526692d7cfee371a577a6ddceb58a0b5a212_0xfb7efba176c89045813dd98c66f8b6374c34abb8229896b090f298eddf0f9288,1768821192,2026-01-19 19:13:12,0x520ee90647d0c8240680686cff408d628b55d75a,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0,37806646133502428871888083521634174121206783931120380805318731858544861978997,7000000.0,10000000.0,0xbfb56cd78c38a17c9148edb2c6a7526692d7cfee371a577a6ddceb58a0b5a212,0xfb7efba176c89045813dd98c66f8b6374c34abb8229896b090f298eddf0f9288,0.0,,BUY,37806646133502428871888083521634174121206783931120380805318731858544861978997,EDward Gaming,10.0,7.0,0.7
0xbfb56cd78c38a17c9148edb2c6a7526692d7cfee371a577a6ddceb58a0b5a212_0xc35b2031801af1a4467d12e3ac2bc59ab722dfac6553f7f6fdc3c847fc504f07,1768821192,2026-01-19 19:13:12,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,22596636222487580112413229370316849367217578883067232650549597728253893345565,3000000.0,10000000.0,0xbfb56cd78c38a17c9148edb2c6a7526692d7cfee371a577a6ddceb58a0b5a212,0xc35b2031801af1a4467d12e3ac2bc59ab722dfac6553f7f6fdc3c847fc504f07,0.0,,BUY,22596636222487580112413229370316849367217578883067232650549597728253893345565,ThunderTalk Gaming,10.0,3.0,0.3
0xe194bdfc647c7ac94bf3652b2450847f575a1d4d001d1bc22c5ef2aa56531641_0xe5dbd1659c1037e248c0d2ca9da8fd623d79293d71c00f10197ded1ed45de262,1768821234,2026-01-19 19:13:54,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,22596636222487580112413229370316849367217578883067232650549597728253893345565,3000000.0,10000000.0,0xe194bdfc647c7ac94bf3652b2450847f575a1d4d001d1bc22c5ef2aa56531641,0xe5dbd1659c1037e248c0d2ca9da8fd623d79293d71c00f10197ded1ed45de262,0.0,,BUY,22596636222487580112413229370316849367217578883067232650549597728253893345565,ThunderTalk Gaming,10.0,3.0,0.3
0xe194bdfc647c7ac94bf3652b2450847f575a1d4d001d1bc22c5ef2aa56531641_0x0b2ddbb7e7716f77ffd02ea4cbe52fecf080999074ae05ea17a0f7ab4e1a6bc8,1768821234,2026-01-19 19:13:54,0x520ee90647d0c8240680686cff408d628b55d75a,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0,37806646133502428871888083521634174121206783931120380805318731858544861978997,7000000.0,10000000.0,0xe194bdfc647c7ac94bf3652b2450847f575a1d4d001d1bc22c5ef2aa56531641,0x0b2ddbb7e7716f77ffd02ea4cbe52fecf080999074ae05ea17a0f7ab4e1a6bc8,0.0,,BUY,37806646133502428871888083521634174121206783931120380805318731858544861978997,EDward Gaming,10.0,7.0,0.7
0x811538957464517793b7ff5b8a114ee8dc63e336ab09b68b1dfd6279345ca4d9_0x0d0bbca139277f1104d74948a4c31f20c64c74881af73a1065203327206b2932,1768821246,2026-01-19 19:14:06,0x520ee90647d0c8240680686cff408d628b55d75a,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0,37806646133502428871888083521634174121206783931120380805318731858544861978997,14000000.0,20000000.0,0x811538957464517793b7ff5b8a114ee8dc63e336ab09b68b1dfd6279345ca4d9,0x0d0bbca139277f1104d74948a4c31f20c64c74881af73a1065203327206b2932,0.0,,BUY,37806646133502428871888083521634174121206783931120380805318731858544861978997,EDward Gaming,20.0,14.0,0.7
0x811538957464517793b7ff5b8a114ee8dc63e336ab09b68b1dfd6279345ca4d9_0xb4acc9a0bc3f473f955d54c56e5838ac3e3ef11cdd7384f8e6d79dc1b4a2475a,1768821246,2026-01-19 19:14:06,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,22596636222487580112413229370316849367217578883067232650549597728253893345565,6000000.0,20000000.0,0x811538957464517793b7ff5b8a114ee8dc63e336ab09b68b1dfd6279345ca4d9,0xb4acc9a0bc3f473f955d54c56e5838ac3e3ef11cdd7384f8e6d79dc1b4a2475a,0.0,,BUY,22596636222487580112413229370316849367217578883067232650549597728253893345565,ThunderTalk Gaming,20.0,6.0,0.3
0x3e75986f4b0eea8a955bfe991060f0b733c36f98bac47cb0e0f1f590a77a2fbd_0xd03863f91ed7e35a91840103316da5fb79c7668cb04939350abf36ae1353ad7d,1768821522,2026-01-19 19:18:42,0x520ee90647d0c8240680686cff408d628b55d75a,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0,37806646133502428871888083521634174121206783931120380805318731858544861978997,53200000.0,76000000.0,0x3e75986f4b0eea8a955bfe991060f0b733c36f98bac47cb0e0f1f590a77a2fbd,0xd03863f91ed7e35a91840103316da5fb79c7668cb04939350abf36ae1353ad7d,0.0,,BUY,37806646133502428871888083521634174121206783931120380805318731858544861978997,EDward Gaming,76.0,53.2,0.7000000000000001
0x3e75986f4b0eea8a955bfe991060f0b733c36f98bac47cb0e0f1f590a77a2fbd_0xd0eb734b300bf3a5636ace9c69cced22768d504959c00feed33858f3467ee979,1768821522,2026-01-19 19:18:42,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,22596636222487580112413229370316849367217578883067232650549597728253893345565,22800000.0,76000000.0,0x3e75986f4b0eea8a955bfe991060f0b733c36f98bac47cb0e0f1f590a77a2fbd,0xd0eb734b300bf3a5636ace9c69cced22768d504959c00feed33858f3467ee979,0.0,,BUY,22596636222487580112413229370316849367217578883067232650549597728253893345565,ThunderTalk Gaming,76.0,22.8,0.3
0x94fc56d51ee32c7b6e01dc8e62f9dc129dd7318b874457d399f1fef3c8154bc0_0xee73a108b921d6aad7e11933c9e7af001fb9880f9cd97ac4dbb2e4ee0c1ad32f,1768821548,2026-01-19 19:19:08,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,22596636222487580112413229370316849367217578883067232650549597728253893345565,10200000.0,34000000.0,0x94fc56d51ee32c7b6e01dc8e62f9dc129dd7318b874457d399f1fef3c8154bc0,0xee73a108b921d6aad7e11933c9e7af001fb9880f9cd97ac4dbb2e4ee0c1ad32f,0.0,,BUY,22596636222487580112413229370316849367217578883067232650549597728253893345565,ThunderTalk Gaming,34.0,10.2,0.3
0x94fc56d51ee32c7b6e01dc8e62f9dc129dd7318b874457d399f1fef3c8154bc0_0xc1eab97186326ffc85964712ebb8cc08869cfac7ccc777dea268b19a2d770782,1768821548,2026-01-19 19:19:08,0x520ee90647d0c8240680686cff408d628b55d75a,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0,37806646133502428871888083521634174121206783931120380805318731858544861978997,23800000.0,34000000.0,0x94fc56d51ee32c7b6e01dc8e62f9dc129dd7318b874457d399f1fef3c8154bc0,0xc1eab97186326ffc85964712ebb8cc08869cfac7ccc777dea268b19a2d770782,0.0,,BUY,37806646133502428871888083521634174121206783931120380805318731858544861978997,EDward Gaming,34.0,23.8,0.7000000000000001
