event_id,timestamp,datetime,maker,taker,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,transactionHash,orderHash,fee,feeRateBps,side,outcome_asset,outcome,size,usdc_value,price
0x94474add034d65f8a82d590f7e318b4bd9129c8abab0fd43430a276ce3b2826a_0xd1617d903d1e0a24f8fa6944bc560ffcbc985c8f0410c3864b4062ee396bbd30,1769264242,2026-01-24 22:17:22,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,71254793938267071874322029456081093440198605707051100215978037853007629883318,2500000.0,10000000.0,0x94474add034d65f8a82d590f7e318b4bd9129c8abab0fd43430a276ce3b2826a,0xd1617d903d1e0a24f8fa6944bc560ffcbc985c8f0410c3864b4062ee396bbd30,0.0,,BUY,71254793938267071874322029456081093440198605707051100215978037853007629883318,Ultra Prime,10.0,2.5,0.25
0x94474add034d65f8a82d590f7e318b4bd9129c8abab0fd43430a276ce3b2826a_0x3ae2cb5e83c4d4563de874d495620653d677bfd2e806992b24b4821943363121,1769264242,2026-01-24 22:17:22,0x8e34ea0d66bb9ebd75290a13209838db8ad54480,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0,105919126905456035631790138409628915215467087512172742232081828569139084182660,7500000.0,10000000.0,0x94474add034d65f8a82d590f7e318b4bd9129c8abab0fd43430a276ce3b2826a,0x3ae2cb5e83c4d4563de874d495620653d677bfd2e806992b24b4821943363121,0.0,,BUY,105919126905456035631790138409628915215467087512172742232081828569139084182660,LNG Esports,10.0,7.5,0.75
0xe458adcf4d97d3167f03f20074d937bb5830c2ec06f41be81ef90a9fab5ca458_0xe76a288f811717a74608163abe25bec0a98c111fbb5bdc74560b6a78a49fdec3,1769264492,2026-01-24 22:21:32,0x8e34ea0d66bb9ebd75290a13209838db8ad54480,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0,105919126905456035631790138409628915215467087512172742232081828569139084182660,7500000.0,10000000.0,0xe458adcf4d97d3167f03f20074d937bb5830c2ec06f41be81ef90a9fab5ca458,0xe76a288f811717a74608163abe25bec0a98c111fbb5bdc74560b6a78a49fdec3,0.0,,BUY,105919126905456035631790138409628915215467087512172742232081828569139084182660,LNG Esports,10.0,7.5,0.75
0xe458adcf4d97d3167f03f20074d937bb5830c2ec06f41be81ef90a9fab5ca458_0xbb7943d8bccf4766a42d645ee326b917e7217a8d4bf888708f261429acb90570,1769264492,2026-01-24 22:21:32,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,71254793938267071874322029456081093440198605707051100215978037853007629883318,2500000.0,10000000.0,0xe458adcf4d97d3167f03f20074d937bb5830c2ec06f41be81ef90a9fab5ca458,0xbb7943d8bccf4766a42d645ee326b917e7217a8d4bf888708f261429acb90570,0.0,,BUY,71254793938267071874322029456081093440198605707051100215978037853007629883318,Ultra Prime,10.0,2.5,0.25
0x939b517723601461d045fc9f3190a4161281b6b7dbde50c4c0d7ab3fbb06f70e_0x517a22f6c6d0976dc884b9de1fee27334dcb95f72072d0e5653bd174fa7fde95,1769264578,2026-01-24 22:22:58,0x8e34ea0d66bb9ebd75290a13209838db8ad54480,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0,105919126905456035631790138409628915215467087512172742232081828569139084182660,7500000.0,10000000.0,0x939b517723601461d045fc9f3190a4161281b6b7dbde50c4c0d7ab3fbb06f70e,0x517a22f6c6d0976dc884b9de1fee27334dcb95f72072d0e5653bd174fa7fde95,0.0,,BUY,105919126905456035631790138409628915215467087512172742232081828569139084182660,LNG Esports,10.0,7.5,0.75
0x939b517723601461d045fc9f3190a4161281b6b7dbde50c4c0d7ab3fbb06f70e_0x098aedde608286d00fc74c27f24da692e84fbdff5a01c62eab3bdbcf77974e4e,1769264578,2026-01-24 22:22:58,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,71254793938267071874322029456081093440198605707051100215978037853007629883318,2500000.0,10000000.0,0x939b517723601461d045fc9f3190a4161281b6b7dbde50c4c0d7ab3fbb06f70e,0x098aedde608286d00fc74c27f24da692e84fbdff5a01c62eab3bdbcf77974e4e,0.0,,BUY,71254793938267071874322029456081093440198605707051100215978037853007629883318,Ultra Prime,10.0,2.5,0.25
0x72be26b98fd6d32e20d3d56b38fcd2f81024d3bf83ceec5cfb58b8d7259e86a4_0x224c74357ed31714d23d0cccce4d1d0c3397e2b1102bba7a527a06a6e1cef247,1769265828,2026-01-24 22:43:48,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,71254793938267071874322029456081093440198605707051100215978037853007629883318,2500000.0,10000000.0,0x72be26b98fd6d32e20d3d56b38fcd2f81024d3bf83ceec5cfb58b8d7259e86a4,0x224c74357ed31714d23d0cccce4d1d0c3397e2b1102bba7a527a06a6e1cef247,0.0,,BUY,71254793938267071874322029456081093440198605707051100215978037853007629883318,Ultra Prime,10.0,2.5,0.25
0x72be26b98fd6d32e20d3d56b38fcd2f81024d3bf83ceec5cfb58b8d7259e86a4_0x3c0177e555d083f226b2b3e01951095d82a0f4dbc16a0fffd57d3149434d4ea2,1769265828,2026-01-24 22:43:48,0x8e34ea0d66bb9ebd75290a13209838db8ad54480,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0,105919126905456035631790138409628915215467087512172742232081828569139084182660,7500000.0,10000000.0,0x72be26b98fd6d32e20d3d56b38fcd2f81024d3bf83ceec5cfb58b8d7259e86a4,0x3c0177e555d083f226b2b3e01951095d82a0f4dbc16a0fffd57d3149434d4ea2,0.0,,BUY,105919126905456035631790138409628915215467087512172742232081828569139084182660,LNG Esports,10.0,7.5,0.75
0x80a6c5e54aa3f570bdf99f774cca68794c551ab9a34e8b02a648a996f39bfba2_0x6a8a8623f7c2ab24774e5ac372b41ff6f54c7759a91d33f8f6c805a16b770e80,1769265972,2026-01-24 22:46:12,0x8e34ea0d66bb9ebd75290a13209838db8ad54480,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0,105919126905456035631790138409628915215467087512172742232081828569139084182660,7500000.0,10000000.0,0x80a6c5e54aa3f570bdf99f774cca68794c551ab9a34e8b02a648a996f39bfba2,0x6a8a8623f7c2ab24774e5ac372b41ff6f54c7759a91d33f8f6c805a16b770e80,0.0,,BUY,105919126905456035631790138409628915215467087512172742232081828569139084182660,LNG Esports,10.0,7.5,0.75
0x80a6c5e54aa3f570bdf99f774cca68794c551ab9a34e8b02a648a996f39bfba2_0xaa79f49adb48eb962009df6de8b5f87059f521390fe8732d6376eca465b4169f,1769265972,2026-01-24 22:46:12,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,71254793938267071874322029456081093440198605707051100215978037853007629883318,2500000.0,10000000.0,0x80a6c5e54aa3f570bdf99f774cca68794c551ab9a34e8b02a648a996f39bfba2,0xaa79f49adb48eb962009df6de8b5f87059f521390fe8732d6376eca465b4169f,0.0,,BUY,71254793938267071874322029456081093440198605707051100215978037853007629883318,Ultra Prime,10.0,2.5,0.25
