event_id,timestamp,datetime,maker,taker,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,transactionHash,orderHash,fee,feeRateBps,side,outcome_asset,outcome,size,usdc_value,price
0x77c089f820a47d460b5264a371045ed20b66769f0452d0a0348b10f4ac19d259_0xad1a4cb81375ef18c0ce4b9e5353682ea8b570f21e5a928fd1b3d30ba6746a95,1769554009,2026-01-28 06:46:49,0x68146921df11eab44296dc4e58025ca84741a9e7,0x224b16b3c67ad51f6302eab010a9e8f540a88927,0,108203816263474198850117469926188300503521269721490178480877786172101996040630,15080000.0,29000000.0,0x77c089f820a47d460b5264a371045ed20b66769f0452d0a0348b10f4ac19d259,0xad1a4cb81375ef18c0ce4b9e5353682ea8b570f21e5a928fd1b3d30ba6746a95,0.0,,BUY,108203816263474198850117469926188300503521269721490178480877786172101996040630,Ultra Prime,29.0,15.08,0.52
0x77c089f820a47d460b5264a371045ed20b66769f0452d0a0348b10f4ac19d259_0xf90d28a01e3779cd2337c4a5e7d7e3c6ec5de5ec15c07a53c5c7470a92650dc9,1769554009,2026-01-28 06:46:49,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0x224b16b3c67ad51f6302eab010a9e8f540a88927,0,108203816263474198850117469926188300503521269721490178480877786172101996040630,76500000.0,150000000.0,0x77c089f820a47d460b5264a371045ed20b66769f0452d0a0348b10f4ac19d259,0xf90d28a01e3779cd2337c4a5e7d7e3c6ec5de5ec15c07a53c5c7470a92650dc9,0.0,,BUY,108203816263474198850117469926188300503521269721490178480877786172101996040630,Ultra Prime,150.0,76.5,0.51
0x77c089f820a47d460b5264a371045ed20b66769f0452d0a0348b10f4ac19d259_0xf0178f1511c433ed726d3285406e6d35a116a9d569c5e62ffdc14f7faaaf326f,1769554009,2026-01-28 06:46:49,0xa226daf8153010f6b5c504a29c51509ae3ed5092,0x224b16b3c67ad51f6302eab010a9e8f540a88927,0,108203816263474198850117469926188300503521269721490178480877786172101996040630,9880000.0,19000000.0,0x77c089f820a47d460b5264a371045ed20b66769f0452d0a0348b10f4ac19d259,0xf0178f1511c433ed726d3285406e6d35a116a9d569c5e62ffdc14f7faaaf326f,0.0,,BUY,108203816263474198850117469926188300503521269721490178480877786172101996040630,Ultra Prime,19.0,9.88,0.52
0x77c089f820a47d460b5264a371045ed20b66769f0452d0a0348b10f4ac19d259_0x3a3f8f4b72c5f9a5e143355a7e62cc4f5a2dc6c0264e60aa63db492183f4ac7b,1769554009,2026-01-28 06:46:49,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,0x224b16b3c67ad51f6302eab010a9e8f540a88927,0,108203816263474198850117469926188300503521269721490178480877786172101996040630,435917400.0,854740000.0,0x77c089f820a47d460b5264a371045ed20b66769f0452d0a0348b10f4ac19d259,0x3a3f8f4b72c5f9a5e143355a7e62cc4f5a2dc6c0264e60aa63db492183f4ac7b,0.0,,BUY,108203816263474198850117469926188300503521269721490178480877786172101996040630,Ultra Prime,854.74,435.9174,0.51
0x77c089f820a47d460b5264a371045ed20b66769f0452d0a0348b10f4ac19d259_0x5e0cc406215636ef0066e039ec460ec5367c3394809996f872b13bb60d8c41d9,1769554009,2026-01-28 06:46:49,0xde0463ea7f611b065e8ab06bbfbddad75e6dfa37,0x224b16b3c67ad51f6302eab010a9e8f540a88927,0,108203816263474198850117469926188300503521269721490178480877786172101996040630,255000000.0,500000000.0,0x77c089f820a47d460b5264a371045ed20b66769f0452d0a0348b10f4ac19d259,0x5e0cc406215636ef0066e039ec460ec5367c3394809996f872b13bb60d8c41d9,0.0,,BUY,108203816263474198850117469926188300503521269721490178480877786172101996040630,Ultra Prime,500.0,255.0,0.51
0x77c089f820a47d460b5264a371045ed20b66769f0452d0a0348b10f4ac19d259_0x228bd69c93f1ddce532993c8ac768391037d20a2df6f1ccc86e987cecd1df70f,1769554009,2026-01-28 06:46:49,0x224b16b3c67ad51f6302eab010a9e8f540a88927,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,90969445866637341121076884338482477436765753669251742445512183148444408233419,760362600.0,1552740000.0,0x77c089f820a47d460b5264a371045ed20b66769f0452d0a0348b10f4ac19d259,0x228bd69c93f1ddce532993c8ac768391037d20a2df6f1ccc86e987cecd1df70f,0.0,,BUY,90969445866637341121076884338482477436765753669251742445512183148444408233419,Oh My God,1552.74,760.3626,0.48969086904439896
0x55fb5b52c08881a8c4cd705b7f3ee6080df97ad00da4ce21ed175f93461aa223_0xb997e9c07f300f45889ef6fbbaad54ca88e262b5a2957e2ed30da585e1944c8a,1769554015,2026-01-28 06:46:55,0x63e7a95606a6d76cd149c91b5c97122d2b7c2386,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,108203816263474198850117469926188300503521269721490178480877786172101996040630,1500000.0,2500000.0,0x55fb5b52c08881a8c4cd705b7f3ee6080df97ad00da4ce21ed175f93461aa223,0xb997e9c07f300f45889ef6fbbaad54ca88e262b5a2957e2ed30da585e1944c8a,0.0,,BUY,108203816263474198850117469926188300503521269721490178480877786172101996040630,Ultra Prime,2.5,1.5,0.6
0x55fb5b52c08881a8c4cd705b7f3ee6080df97ad00da4ce21ed175f93461aa223_0x68d493edb93d23ab0f1ca271ca31142a9fd17148d51a034d1c53e7a5913c0100,1769554015,2026-01-28 06:46:55,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0x63e7a95606a6d76cd149c91b5c97122d2b7c2386,0,90969445866637341121076884338482477436765753669251742445512183148444408233419,1000000.0,2500000.0,0x55fb5b52c08881a8c4cd705b7f3ee6080df97ad00da4ce21ed175f93461aa223,0x68d493edb93d23ab0f1ca271ca31142a9fd17148d51a034d1c53e7a5913c0100,0.0,,BUY,90969445866637341121076884338482477436765753669251742445512183148444408233419,Oh My God,2.5,1.0,0.4
0x5f45ff5f05dec0e01cad78df4ee4903ec81012217f4778244ff6813dc8b4a057_0x68d493edb93d23ab0f1ca271ca31142a9fd17148d51a034d1c53e7a5913c0100,1769554019,2026-01-28 06:46:59,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0xb6ba540a57fc965805e25ddee990ade1e0d22a2f,0,90969445866637341121076884338482477436765753669251742445512183148444408233419,5693333.0,14233332.0,0x5f45ff5f05dec0e01cad78df4ee4903ec81012217f4778244ff6813dc8b4a057,0x68d493edb93d23ab0f1ca271ca31142a9fd17148d51a034d1c53e7a5913c0100,0.0,,BUY,90969445866637341121076884338482477436765753669251742445512183148444408233419,Oh My God,14.233332,5.693333,0.4000000140515235
0x5f45ff5f05dec0e01cad78df4ee4903ec81012217f4778244ff6813dc8b4a057_0xfa9c20b42a70e126ce23157db6387d16080c405044c77ac4540e18500fc67b9e,1769554019,2026-01-28 06:46:59,0xb6ba540a57fc965805e25ddee990ade1e0d22a2f,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,108203816263474198850117469926188300503521269721490178480877786172101996040630,8539999.0,14233332.0,0x5f45ff5f05dec0e01cad78df4ee4903ec81012217f4778244ff6813dc8b4a057,0xfa9c20b42a70e126ce23157db6387d16080c405044c77ac4540e18500fc67b9e,0.0,,BUY,108203816263474198850117469926188300503521269721490178480877786172101996040630,Ultra Prime,14.233332,8.539999,0.5999999859484764
0xd7a5797dfce7bf4f9f0948ec3d3a5a8084887d6e51b8b562761afd865456d733_0xb748053e551ca8232e261c4828f7847bc615df743562120b6ec22a68b4236a6d,1769554025,2026-01-28 06:47:05,0x86f22e87c2b73e68035bd6e0e7fdcee0e1270546,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0,108203816263474198850117469926188300503521269721490178480877786172101996040630,4348300.0,7370000.0,0xd7a5797dfce7bf4f9f0948ec3d3a5a8084887d6e51b8b562761afd865456d733,0xb748053e551ca8232e261c4828f7847bc615df743562120b6ec22a68b4236a6d,0.0,,BUY,108203816263474198850117469926188300503521269721490178480877786172101996040630,Ultra Prime,7.37,4.3483,0.59
0xd7a5797dfce7bf4f9f0948ec3d3a5a8084887d6e51b8b562761afd865456d733_0x1489f6d28c0551e81181de49ffbc2d6d5f0589c22df889b16872b42a95a60e33,1769554025,2026-01-28 06:47:05,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,90969445866637341121076884338482477436765753669251742445512183148444408233419,3021700.0,7370000.0,0xd7a5797dfce7bf4f9f0948ec3d3a5a8084887d6e51b8b562761afd865456d733,0x1489f6d28c0551e81181de49ffbc2d6d5f0589c22df889b16872b42a95a60e33,0.0,,BUY,90969445866637341121076884338482477436765753669251742445512183148444408233419,Oh My God,7.37,3.0217,0.41
0xf0bae6c55a06fc675433160db9b0d670469b7c56dae31168003f3bfb2dec7f8b_0x1489f6d28c0551e81181de49ffbc2d6d5f0589c22df889b16872b42a95a60e33,1769554025,2026-01-28 06:47:05,0xea9e60763ce2e27294d869f2fd24020b5188d3fb,0x785fd40a0d2091db3449ca64a71a99fd0956e3d9,0,90969445866637341121076884338482477436765753669251742445512183148444408233419,13120000.0,32000000.0,0xf0bae6c55a06fc675433160db9b0d670469b7c56dae31168003f3bfb2dec7f8b,0x1489f6d28c0551e81181de49ffbc2d6d5f0589c22df889b16872b42a95a60e33,0.0,,BUY,90969445866637341121076884338482477436765753669251742445512183148444408233419,Oh My God,32.0,13.12,0.41
0xf0bae6c55a06fc675433160db9b0d670469b7c56dae31168003f3bfb2dec7f8b_0x1b51a2b322dca9d61bd6fe5d03e33587b833aeef02b7c8be430224f6ee79870a,1769554025,2026-01-28 06:47:05,0x785fd40a0d2091db3449ca64a71a99fd0956e3d9,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,108203816263474198850117469926188300503521269721490178480877786172101996040630,18880000.0,32000000.0,0xf0bae6c55a06fc675433160db9b0d670469b7c56dae31168003f3bfb2dec7f8b,0x1b51a2b322dca9d61bd6fe5d03e33587b833aeef02b7c8be430224f6ee79870a,0.0,,BUY,108203816263474198850117469926188300503521269721490178480877786172101996040630,Ultra Prime,32.0,18.88,0.59
0xd8807d6a33d64b49a39ecabb0a66baf91e401144a6bdc178411070032b41c187_0xf181023c0a2db7b5ddedbd583c1ea954233835c321bb2041aacbc619239d05d5,1769554313,2026-01-28 06:51:53,0xa226daf8153010f6b5c504a29c51509ae3ed5092,0x2a882057d533205b618b154a8773387934d82bff,108203816263474198850117469926188300503521269721490178480877786172101996040630,0,3000000.0,1800000.0,0xd8807d6a33d64b49a39ecabb0a66baf91e401144a6bdc178411070032b41c187,0xf181023c0a2db7b5ddedbd583c1ea954233835c321bb2041aacbc619239d05d5,0.0,,SELL,108203816263474198850117469926188300503521269721490178480877786172101996040630,Ultra Prime,3.0,1.8,0.6
