match_start_time,match_end_time,event_title,question,matched_teams,condition_id,volume,liquidity,resolved_winner
2026-01-14T09:00:00+00:00,2026-01-14T12:00:00+00:00,LoL: Weibo Gaming vs Invictus Gaming (BO3),LoL: Weibo Gaming vs Invictus Gaming (BO3),"Weibo Gaming, Invictus Gaming",0x3067d9b79762eba9d0636bb2b46072a91dc40ee1422bdb97a83b6f7971558a7c,1179152.584726,,Weibo Gaming
2026-01-14T11:00:00+00:00,2026-01-14T14:00:00+00:00,LoL: Top Esports vs JD Gaming (BO3) - LPL Group Ascend,LoL: Top Esports vs JD Gaming (BO3),"JD Gaming, Top Esports",0xa72431a867341143e335ff3e5560d96359392a02822839daaafb89fd63222355,714291.248253,,JD Gaming
2026-01-15T07:00:00+00:00,2026-01-15T10:00:00+00:00,LoL: LGD Gaming vs Ultra Prime (BO3) - LPL Group Nirvana,LoL: LGD Gaming vs Ultra Prime (BO3),"",0xf3c8307ce5acc0186d9c0d39f5aa9ca587caf56d388dacd976b843eb7158dc22,487102.928231,,LGD Gaming
2026-01-15T09:00:00+00:00,2026-01-15T12:00:00+00:00,LoL: Invictus Gaming vs Anyone's Legend (BO3) - LPL Group Ascend,LoL: Invictus Gaming vs Anyone's Legend (BO3),"Anyone's Legend, Invictus Gaming",0x515704da9255eda729f4e6b8a9cbb763c44af1b5f9727354d2b3ea38d6e89753,793159.086906,,Anyone's Legend
2026-01-15T11:00:00+00:00,2026-01-15T14:00:00+00:00,LoL: Weibo Gaming vs Bilibili Gaming (BO3) - LPL Group Ascend,LoL: Weibo Gaming vs Bilibili Gaming (BO3),"Bilibili Gaming, Weibo Gaming",0xf0f6f25c4b99a8b8fca066c574043ecf4ad13a7c228198ae847e278c979328dc,1345490.736295,,Bilibili Gaming
2026-01-16T09:00:00+00:00,2026-01-16T12:00:00+00:00,LoL: LNG Esports vs Oh My God (BO3),LoL: LNG Esports vs Oh My God (BO3),"",0x7d45f1fab069ea98c43ac915aa977e3e0b0618cc6a8ea32ea1ffa49d9549a18d,413880.984526,,LNG Esports
2026-01-16T09:00:00+00:00,2026-01-16T12:00:00+00:00,LoL: LNG Esports vs Ultra Prime (BO3) - LPL Group Nirvana,LoL: LNG Esports vs Ultra Prime (BO3),"",0x64b093fe69947b3b6eceaf636821d77dfad8d599c96ad2f733a70b6948bd37b1,490209.759658,,LNG Esports
2026-01-16T11:00:00+00:00,2026-01-16T14:00:00+00:00,LoL: Team WE vs EDward Gaming (BO3) - LPL Group Perseverance,LoL: Team WE vs EDward Gaming (BO3),"",0x64485e483256fa3749e54c8e4b02ed789d405b5c0f289a54215b335965c4826a,546209.236019,,Team WE
2026-01-17T09:00:00+00:00,2026-01-17T12:00:00+00:00,LoL: Bilibili Gaming vs Anyone's Legend (BO3) - LPL Group Ascend,LoL: Bilibili Gaming vs Anyone's Legend (BO3),"Anyone's Legend, Bilibili Gaming",0x49e3318bb496853d0b5b83a3d7c445c845213b8176041ae94d2998ca7c12e3c5,1487577.429636,,Bilibili Gaming
2026-01-17T11:00:00+00:00,2026-01-17T14:00:00+00:00,LoL: JD Gaming vs Invictus Gaming (BO3) - LPL Group Ascend,LoL: JD Gaming vs Invictus Gaming (BO3),"JD Gaming, Invictus Gaming",0x67ed3a23437c3a159100d8bbc4ea778f5b408b4bfa394529b39886b3ed6517fb,1282000.012798,,Invictus Gaming
2026-01-18T09:00:00+00:00,2026-01-18T12:00:00+00:00,LoL: Top Esports vs Bilibili Gaming (BO3) - LPL Group Ascend,LoL: Top Esports vs Bilibili Gaming (BO3),"Bilibili Gaming, Top Esports",0x642754f94b38012891b75631efe84557501c444456917fbbe856441ff8257145,679662.689559,,Bilibili Gaming
2026-01-18T11:00:00+00:00,2026-01-18T14:00:00+00:00,LoL: Anyone's Legend vs JD Gaming (BO3) - LPL Group Ascend,LoL: Anyone's Legend vs JD Gaming (BO3),"Anyone's Legend, JD Gaming",0x84758bb59a632c79f543672201ec79fbc8f456ca8b01225c442e39f5e0da19e1,1392608.586143,,JD Gaming
2026-01-19T07:00:00+00:00,2026-01-19T10:00:00+00:00,LoL: ThunderTalk Gaming vs Team WE (BO3) - LPL Group Perseverance,LoL: ThunderTalk Gaming vs Team WE (BO3),"",0x059ded3c6a630210cf80c5ae38d36464ca4af4bed5c985912a46f75b29919a8e,381637.679161,,Team WE
2026-01-19T09:00:00+00:00,2026-01-19T12:00:00+00:00,LoL: Top Esports vs Weibo Gaming (BO3) - LPL Group Ascend,LoL: Top Esports vs Weibo Gaming (BO3),"Weibo Gaming, Top Esports",0x8ddd2603dea6b685da27b5064de4a7b4cd2f01900ddbdb728b638a7390c08a1e,1205162.29063,,Top Esports
2026-01-19T11:00:00+00:00,2026-01-19T14:00:00+00:00,LoL: EDward Gaming vs Ninjas in Pyjamas (BO3) - LPL Group Perseverance,LoL: EDward Gaming vs Ninjas in Pyjamas (BO3),"",0xac396f43adf4f1e5f6bf7273f18115a3f4405a5b24d6df95271154045eda7aab,1442648.235967,,Ninjas in Pyjamas
2026-01-20T09:00:00+00:00,2026-01-20T12:00:00+00:00,LoL: Anyone's Legend vs Weibo Gaming (BO3) - LPL Group Ascend,LoL: Anyone's Legend vs Weibo Gaming (BO3),"Anyone's Legend, Weibo Gaming",0xb6e1b60a428a1b0ec3abc8aeba8bb98a46e4aa890d575ed29888466b9ee70abb,710732.435914,,Anyone's Legend
2026-01-20T11:00:00+00:00,2026-01-20T14:00:00+00:00,LoL: Invictus Gaming vs Bilibili Gaming (BO3) - LPL Group Ascend,LoL: Invictus Gaming vs Bilibili Gaming (BO3),"Bilibili Gaming, Invictus Gaming",0xf56493af8b1437d65582e84a16bad3feb8d266aba222c5f870f99c35ae7ac423,1371500.917417,,Bilibili Gaming
2026-01-21T09:00:00+00:00,2026-01-21T12:00:00+00:00,LoL: LNG Esports vs LGD Gaming (BO3) - LPL Group Nirvana,LoL: LNG Esports vs LGD Gaming (BO3) - LPL Group Nirvana,"",0x5e35f6ddb459f6dd3526b5d9f1db9c746a8e86ec14f77c03040f45c4c9097e38,1189633.636058,,LNG Esports
